timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719902195765,1230,HTTP Request-1,200,OK,CollegeStudents 1-5,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1211,0,0
1719902195448,1805,HTTP Request,200,OK,CollegeStudents 1-3,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,318,0,0
1719902195448,318,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-3,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,318,0,0
1719902195766,1487,HTTP Request-1,200,OK,CollegeStudents 1-3,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1455,0,0
1719902195005,2375,HTTP Request,200,OK,CollegeStudents 1-4,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,762,0,0
1719902195005,763,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-4,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,762,0,0
1719902195768,1612,HTTP Request-1,200,OK,CollegeStudents 1-4,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1590,0,0
1719902195835,2051,HTTP Request,200,OK,CollegeStudents 1-10,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,895,0,0
1719902195835,895,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-10,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,895,0,0
1719902196730,1156,HTTP Request-1,200,OK,CollegeStudents 1-10,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1131,0,0
1719902195179,3062,HTTP Request,200,OK,CollegeStudents 1-9,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,587,0,0
1719902195179,587,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-9,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,587,0,0
1719902195766,2475,HTTP Request-1,200,OK,CollegeStudents 1-9,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,2444,0,0
1719902196268,2084,HTTP Request,200,OK,CollegeStudents 1-7,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,463,0,0
1719902196268,463,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-7,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,463,0,0
1719902196731,1621,HTTP Request-1,200,OK,CollegeStudents 1-7,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1590,0,0
1719902195803,2908,HTTP Request,200,OK,CollegeStudents 1-2,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,927,0,0
1719902195803,927,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-2,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,927,0,0
1719902196730,1981,HTTP Request-1,200,OK,CollegeStudents 1-2,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1956,0,0
1719902196109,2766,HTTP Request,200,OK,CollegeStudents 1-1,text,true,,105309,298,9,9,https://www.shivajicollege.ac.in/aboutus/the_college.php,621,0,0
1719902196109,621,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-1,text,true,,738,149,9,9,http://www.shivajicollege.ac.in/aboutus/the_college.php,621,0,0
1719902196730,2145,HTTP Request-1,200,OK,CollegeStudents 1-1,text,true,,104571,149,9,9,https://www.shivajicollege.ac.in/aboutus/the_college.php,2122,0,0
1719902197254,1831,HTTP Request,200,OK,CollegeStudents 1-3,text,true,,105309,298,8,8,https://www.shivajicollege.ac.in/aboutus/the_college.php,598,0,0
1719902197254,598,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-3,text,true,,738,149,8,8,http://www.shivajicollege.ac.in/aboutus/the_college.php,598,0,0
1719902197852,1233,HTTP Request-1,200,OK,CollegeStudents 1-3,text,true,,104571,149,8,8,https://www.shivajicollege.ac.in/aboutus/the_college.php,1212,0,0
1719902197381,2361,HTTP Request,200,OK,CollegeStudents 1-4,text,true,,105309,298,7,7,https://www.shivajicollege.ac.in/aboutus/the_college.php,473,0,0
1719902197381,473,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-4,text,true,,738,149,7,7,http://www.shivajicollege.ac.in/aboutus/the_college.php,473,0,0
1719902197854,1888,HTTP Request-1,200,OK,CollegeStudents 1-4,text,true,,104571,149,7,7,https://www.shivajicollege.ac.in/aboutus/the_college.php,1868,0,0
1719902196770,3059,HTTP Request,200,OK,CollegeStudents 1-6,text,true,,105309,298,6,6,https://www.shivajicollege.ac.in/aboutus/the_college.php,1082,0,0
1719902196770,1082,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-6,text,true,,738,149,6,6,http://www.shivajicollege.ac.in/aboutus/the_college.php,1082,0,0
1719902197852,1977,HTTP Request-1,200,OK,CollegeStudents 1-6,text,true,,104571,149,6,6,https://www.shivajicollege.ac.in/aboutus/the_college.php,1942,0,0
1719902196706,3250,HTTP Request,200,OK,CollegeStudents 1-8,text,true,,105309,298,5,5,https://www.shivajicollege.ac.in/aboutus/the_college.php,1148,0,0
1719902196706,1148,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-8,text,true,,738,149,5,5,http://www.shivajicollege.ac.in/aboutus/the_college.php,1148,0,0
